PROXY_XIN_ENG_20021228_0162.8	Al Kindi
ENG_NA_020001_20161020_G0023FSVY_0001.5	Saint-Marc
PROXY_XIN_ENG_20020701_0314.15	Montesinos
PROXY_XIN_ENG_20040407_0026.18	ABS-CBN
PROXY_XIN_ENG_20031107_0242.10	Dlamini-Zuma
PROXY_XIN_ENG_20031107_0242.10	Brazil-Africa Forum
PROXY_XIN_ENG_20031107_0242.10	Fortaleza
ENG_NA_020001_20161020_G0023FSUN_0001.4	Rue Petrel
ENG_NA_020001_20161020_G0023FSUN_0001.4	College Mevar
PROXY_NYT_ENG_20020406_0118.31	Raymond Zilinskas
PROXY_NYT_ENG_20020406_0118.31	Monterey Institute of International Studies
PROXY_NYT_ENG_20020406_0118.31	State Scientific Center of Applied Microbiology
PROXY_NYT_ENG_20070618_0031.5	Christopher Hill
PROXY_NYT_ENG_20080919_0209.7	Grand Ayatollah Ali al-Sistani
PROXY_XIN_ENG_20020725_0113.7	Public Security Bureau
PROXY_NYT_ENG_20050716_0171.59	Mr. Chavez
PROXY_NYT_ENG_20050716_0171.23	Datanalisis
ENG_DF_000170_20050903_C00020J0V_0001.52	Renaissance Austin Hotel
ENG_DF_000170_20050903_C00020J0V_0001.52	Hurricane Katrina Block
ENG_DF_000170_20050903_C00020J0V_0001.52	Arboretum Blvd
PROXY_LTW_ENG_20081115_0076.20	David Albright
PROXY_NYT_ENG_20050716_0171.38	FAL
PROXY_NYT_ENG_20050716_0171.26	Campos
NW_AFP_ENG_0010_2003_0401.3	School of Economics
NW_AFP_ENG_0010_2003_0401.3	University of London
PROXY_XIN_ENG_20030428_0226.9	Alliot-Marie
PROXY_XIN_ENG_20020905_0122.8	Kathmandu Valley
PROXY_NYT_ENG_20071115_0274.10	Nuclear Suppliers Group
PROXY_XIN_ENG_20021123_0156.21	Tang
PROXY_XIN_ENG_20021123_0156.21	SCO
PROXY_XIN_ENG_20020829_0017.10	Kathmandu
PROXY_XIN_ENG_20020829_0017.10	Bishalbazar
PROXY_LTW_ENG_20070930_0021.4	Nuclear Suppliers Group
PROXY_NYT_ENG_20050716_0171.24	Alberto Garrido
ENG_NA_020001_20161020_G0023FSWG_0001.4	Andre Street
ENG_NA_020001_20161020_G0023FSWG_0001.4	Brochet 99
nw.chtb_0305.3	Akayev
nw.chtb_0305.3	Kirghizia
PROXY_XIN_ENG_20021123_0156.14	Tang
PROXY_NYT_ENG_20050716_0171.18	Espinoza
nw.chtb_0324.6	Bao Lizuo
nw.chtb_0324.6	Wei Lan
PROXY_XIN_ENG_20040407_0026.4	Immigrations Bureau
nw.chtb_0318.1	Yiguo Yu
wb.eng_0003.37	NOVA
PROXY_NYT_ENG_20080919_0209.20	Al-Sistani
PROXY_XIN_ENG_20020701_0314.6	Montesinos
PROXY_NYT_ENG_20080919_0209.10	Al-Sistani
NW_AFP_ENG_0018_2003_0616.8	Byrds Creek
NW_AFP_ENG_0018_2003_0616.8	Richland Center
ENG_NA_020001_20161020_G0023FSVG_0001.4	Thomassin 32
ENG_NA_020001_20161020_G0023FSVG_0001.4	Pyron
PROXY_NYT_ENG_20080919_0209.5	Grand Ayatollah Ali al-Sistani
PROXY_NYT_ENG_20081008_0040.35	Sugule Ali
wb.eng_0003.47	CTB
wb.eng_0003.47	VDOT
PROXY_NYT_ENG_20020406_0118.13	State Scientific Center of Applied Microbiology
PROXY_XIN_ENG_20041219_0059.7	Hong Kong Polytechnic University
PROXY_XIN_ENG_20041219_0059.7	Virtual University Park
PROXY_XIN_ENG_20031107_0242.8	Lula da Silva
PROXY_XIN_ENG_20031107_0242.8	Joint Commission
PROXY_LTW_ENG_20080727_0030.15	Jeffrey G. Lewis
ENG_NA_020001_20161020_G0023FSVX_0001.4	National 1
ENG_NA_020001_20161020_G0023FSVX_0001.4	Bon Repos
ENG_NA_020001_20161020_G0023FSVX_0001.4	Croix-des-Bouquets
ENG_NA_020001_20161020_G0023FSVX_0001.4	Moya
NW_AFP_ENG_0019_2003_0630.20	Rafah
PROXY_NYT_ENG_20081008_0040.22	Southern Sudan
PROXY_XIN_ENG_20031107_0242.7	Manusha Pillay
PROXY_XIN_ENG_20031107_0242.7	Lula da Silva
PROXY_XIN_ENG_20031107_0242.7	Waterkloof Air Force
NW_AFP_ENG_0012_2003_0419.6	Dharam Datt Choyal
NW_AFP_ENG_0012_2003_0419.6	Bhupinder Singh
ENG_DF_000170_20050903_C00020J0V_0001.45	United Van Lines
ENG_DF_000170_20050903_C00020J0V_0001.45	Junior College Athletic Association
PROXY_LTW_ENG_20070930_0021.31	NSG
bolt12_91455_5322.1	Ms. Fan
nw.chtb_0324.8	Sheng Chen
PROXY_NYT_ENG_20081008_0040.25	Oleh Belokolos
PROXY_NYT_ENG_20070618_0031.13	Banco Delta Asia
PROXY_XIN_ENG_20020905_0122.13	Nepali Congress
PROXY_XIN_ENG_20020905_0122.13	Kathmandu Valley
NW_AFP_ENG_0019_2003_0630.10	Netzarim
NW_AFP_ENG_0019_2003_0630.10	Gaza City
NW_AFP_ENG_0019_2003_0630.10	Deir al-Balah
NW_AFP_ENG_0019_2003_0630.10	Kissufim
NW_AFP_ENG_0019_2003_0630.10	Guest House
ENG_NA_020001_20161020_G0023FSVW_0001.5	Ruelle Alix Roy
PROXY_NYT_ENG_20020406_0118.17	Nikolai N. Urakov
PROXY_NYT_ENG_20020406_0118.17	State Scientific Center of Applied Microbiology
bolt12_91455_5342.2	Zhang Jizhong
NW_XIN_ENG_0192_2005_0906.8	Los Angeles County
NW_AFP_ENG_0019_2003_0630.16	Netzarim
NW_AFP_ENG_0019_2003_0630.16	Guest House
PROXY_XIN_ENG_20020829_0017.5	Kathmandu
nw.chtb_0303.4	John Malsela
nw.chtb_0303.4	Tanzania United Republic
PROXY_LTW_ENG_20081115_0076.13	Sergei Ryabkov
ENG_NA_020001_20161020_G0023FSWA_0001.4	Mahotiere 75
PROXY_XIN_ENG_20040407_0026.8	Immigrations Bureau
PROXY_XIN_ENG_20040407_0026.8	Hambali
PROXY_LTW_ENG_20070930_0021.18	NSG
nw.chtb_0305.5	Akayev
nw.chtb_0305.5	Kirghizia
PROXY_NYT_ENG_20070618_0031.15	Central Bank
PROXY_XIN_ENG_20020701_0314.9	Montesinos
wb.eng_0003.27	288
PROXY_XIN_ENG_20031107_0242.18	Africa Union
PROXY_XIN_ENG_20031107_0242.18	New Partnership
PROXY_XIN_ENG_20041219_0059.9	Poon
PROXY_LTW_ENG_20070930_0021.11	NSG
NW_XIN_ENG_0209_2008_0513.5	Pinzalu
PROXY_NYT_ENG_20080919_0209.22	Al-Sistani
DF-200-192400-625_7200.8	leukaemia
wb.eng_0003.53	Walter Stoch
wb.eng_0003.53	288
NW_AFP_ENG_0017_2003_0607.2	Atal Behari Vajpayee
NW_AFP_ENG_0017_2003_0607.2	Abdul Kalam
NW_AFP_ENG_0017_2003_0607.2	Varuna
NW_AFP_ENG_0017_2003_0607.2	Digvijay Singh
NW_AFP_ENG_0014_2003_0502.8	Jean-Rene Fourtou
NW_AFP_ENG_0014_2003_0502.8	Vivendi Univeral Entertainment
PROXY_XIN_ENG_20020905_0122.18	US State Department
NW_XIN_ENG_0189_2003_0324.2	Al-Azamiyah
ENG_NA_020001_20161020_G0023FSW7_0001.4	Lesdunes
NW_AFP_ENG_0013_2003_0427.7	Ayub Masih
NW_AFP_ENG_0013_2003_0427.7	Mohammad
PROXY_XIN_ENG_20020701_0314.8	Montesinos
PROXY_NYT_ENG_20020406_0118.30	State Scientific Center of Applied Microbiology
ENG_DF_000170_20050903_C00020J0V_0001.14	Trinity U
NW_AFP_ENG_0014_2003_0502.5	Blackstone Group
NW_AFP_ENG_0014_2003_0502.5	Universal Studios Hollywood
NW_AFP_ENG_0014_2003_0502.5	Universal Orlando
NW_AFP_ENG_0014_2003_0502.5	Universal
PROXY_NYT_ENG_20050716_0171.37	Ochoa
PROXY_XIN_ENG_20020701_0314.5	Montesinos
PROXY_NYT_ENG_20050716_0171.21	Espinoza
PROXY_NYT_ENG_20040724_0084.24	Viegas
PROXY_NYT_ENG_20040724_0084.24	Brasilia
PROXY_LTW_ENG_20080727_0030.27	Burns
NW_AFP_ENG_0014_2003_0502.2	Vivendi Universal Entertainment
ENG_DF_000170_20050903_C00020J0V_0001.51	Holiday Inn
ENG_DF_000170_20050903_C00020J0V_0001.51	Business Park Drive
NW_AFP_ENG_0013_2003_0427.2	Shahid Rafiq
NW_AFP_ENG_0013_2003_0427.2	district court
NW_AFP_ENG_0013_2003_0427.2	Faisalabad
NW_AFP_ENG_0013_2003_0427.2	Ranjha Masih
nw.chtb_0324.1	Aiguo Yang
nw.chtb_0324.1	Changrui Huang
wb.eng_0003.13	Homer Simpson
wb.eng_0003.4	Route 288
wb.eng_0003.4	Richmond New Urban Region
PROXY_NYT_ENG_20020406_0118.6	Mosenergo
PROXY_XIN_ENG_20021123_0156.5	Tang Jiaxuan
PROXY_XIN_ENG_20021123_0156.5	Shanghai Cooperation Organization
NW_AFP_ENG_0018_2003_0616.3	Abilene
wb.eng_0003.9	Winterfield Road
NW_AFP_ENG_0018_2003_0616.2	Kristin Scott
NW_AFP_ENG_0018_2003_0616.2	Byrds Creek
NW_AFP_ENG_0018_2003_0616.2	Richland
ENG_NA_020001_20161020_G0023FSW4_0001.4	La Plaine
bolt12_6455_6561.29	Kangxi
bolt12_6455_6561.29	Abraham Lincoln
PROXY_LTW_ENG_20070831_0072.17	David Albright
PROXY_LTW_ENG_20070831_0072.17	Jacqueline Shire
PROXY_XIN_ENG_20020725_0113.6	Oriental Daily News
PROXY_XIN_ENG_20020725_0113.6	Triad
NW_AFP_ENG_0019_2003_0630.15	Rafah
NW_AFP_ENG_0019_2003_0630.15	Khan Yunis
PROXY_XIN_ENG_20020725_0333.8	Attorney General's Office
PROXY_NYT_ENG_20050716_0171.16	Carlos Roque Espinoza Leon
PROXY_XIN_ENG_20030624_0298.12	Mujahedeen
ENG_NA_020001_20161020_G0023FSV2_0001.4	La Tortue
PROXY_LTW_ENG_20070930_0021.30	NSG Guidelines
PROXY_XIN_ENG_20040403_0262.11	Vladimir Popovkin
PROXY_XIN_ENG_20041219_0059.15	HKUST
wb.eng_0003.79	Watkins Landing
PROXY_XIN_ENG_20030624_0298.6	de Villepin
PROXY_XIN_ENG_20030624_0298.6	France Info
ENG_NA_020001_20161020_G0023FSV5_0001.4	Mathieu
ENG_NA_020001_20161020_G0023FSV5_0001.4	Grand Riviere
nw.chtb_0318.10	Souya
nw.chtb_0318.10	Banminyan
nw.chtb_0318.10	Tokyo Handicapped Integrated Sports Center
ENG_NA_020001_20161020_G0023FSVB_0001.4	Martisan
ENG_NA_020001_20161020_G0023FSVB_0001.4	Doctors without Frontiers
PROXY_NYT_ENG_20020406_0118.34	National Power Company
PROXY_LTW_ENG_20070831_0072.23	Daryl G. Kimball
wb.eng_0003.6	Richmond Times-Dispatch
wb.eng_0003.6	Huguenot Trail
wb.eng_0003.6	Powhatan County
PROXY_LTW_ENG_20070930_0021.32	NSG
PROXY_LTW_ENG_20080727_0030.6	Mashbad
ENG_NA_020001_20161020_G0023FSW5_0001.4	Renaissance Village
PROXY_NYT_ENG_20081008_0040.26	South Sudan
PROXY_XIN_ENG_20021123_0156.6	Tang
PROXY_XIN_ENG_20021123_0156.6	SCO
PROXY_XIN_ENG_20020725_0113.9	Triad
PROXY_XIN_ENG_20020725_0113.9	Mongkok
wb.eng_0003.24	Route 288
PROXY_XIN_ENG_20040429_0189.25	Daimler-Chrysler
PROXY_NYT_ENG_20080808_0162.23	Caucasus
NW_AFP_ENG_0015_2003_0514.2	Shalom
NW_AFP_ENG_0015_2003_0514.2	Mahmud Abbas
bolt12_9145_5531.1	Hsu Yuki
ENG_NA_020001_20161020_G0023FSUZ_0001.6	Brat Darbonne
ENG_NA_020001_20161020_G0023FSUZ_0001.6	Pond Branch
PROXY_XIN_ENG_20021228_0162.9	Al Qaib
PROXY_XIN_ENG_20021228_0162.9	Al Qa Qaa
PROXY_XIN_ENG_20021228_0162.9	Al Samoud
PROXY_XIN_ENG_20021228_0162.9	Al Fatah
PROXY_NYT_ENG_20050716_0171.33	Fernando Ochoa Antich
PROXY_NYT_ENG_20050716_0171.61	Cooperation Office
NW_XIN_ENG_0194_2007_0704.8	Zhao Shucong
NW_XIN_ENG_0194_2007_0704.8	Tianchang
nw.chtb_0325.5	Richard
PROXY_XIN_ENG_20041219_0059.14	Hong Kong University of Science and Technology
PROXY_XIN_ENG_20041219_0059.14	China Hi-Tech Fair
NW_XIN_ENG_0193_2006_0822.4	Udaipur
NW_XIN_ENG_0193_2006_0822.4	Dungarpur
NW_XIN_ENG_0193_2006_0822.4	Barmer
NW_XIN_ENG_0193_2006_0822.4	Pali
NW_XIN_ENG_0193_2006_0822.4	Sirohi
NW_XIN_ENG_0193_2006_0822.4	Jalore
NW_XIN_ENG_0193_2006_0822.4	Kota
NW_XIN_ENG_0193_2006_0822.4	Jhalawar
nw.chtb_0302.1	Guojun Yang
nw.chtb_0318.9	Souya
nw.chtb_0318.9	Beijing Far South Sports Meet
wb.eng_0003.80	Huguenot Trail
ENG_NA_020001_20161020_G0023FSWD_0001.4	Boukman Street
nw.chtb_0319.1	Lahagewasulen
nw.chtb_0319.1	Sports Association
nw.chtb_0319.1	Lahagewasu
nw.chtb_0319.1	Far South Sports Meet
ENG_DF_000170_20050903_C00020J0V_0001.13	Rice U
ENG_DF_000170_20050903_C00020J0V_0001.13	Texas A & M
ENG_DF_000170_20050903_C00020J0V_0001.13	Tulane
PROXY_XIN_ENG_20011006_0073.12	Foreign Military Assistance Act
PROXY_NYT_ENG_20020406_0118.24	Beatty
PROXY_NYT_ENG_20020406_0118.24	State Scientific Center of Applied Microbiology
ENG_NA_020001_20161020_G0023FSVZ_0001.5	Village Theodate
NW_AFP_ENG_0019_2003_0630.12	Kissufim
NW_AFP_ENG_0019_2003_0630.12	Guest House
PROXY_XIN_ENG_20021123_0156.16	SCO
PROXY_XIN_ENG_20020701_0314.12	Montesinos
NW_AFP_ENG_0013_2003_0427.3	Ranjha
PROXY_XIN_ENG_20020725_0113.23	Yam Tat Wing
wb.eng_0003.84	288
wb.eng_0003.84	Powhatan
wb.eng_0003.84	Chesterfield
PROXY_NYT_ENG_20080808_0162.22	Caucasus
PROXY_XIN_ENG_20030624_0298.18	Iranian Revolution
ENG_DF_000170_20050903_C00020J0V_0001.31	Goodwill Industries
PROXY_NYT_ENG_20080808_0162.15	Poti
PROXY_XIN_ENG_20041219_0059.8	Poon Chung-kwong
PROXY_XIN_ENG_20041219_0059.8	PolyU
PROXY_NYT_ENG_20040724_0084.10	Cardoso
nw.chtb_0322.1	Shuifu Tang
nw.chtb_0322.11	Runan Wang
NW_AFP_ENG_0014_2003_0502.6	Blackstone
NW_AFP_ENG_0014_2003_0502.6	Universal Orlando
nw.chtb_0322.4	Go
bolt12_6455_6562.10	Qin Shi Huang
bolt12_6455_6562.10	Zheng Chenggong
PROXY_NYT_ENG_20071115_0274.6	Nuclear Suppliers Group
nw.chtb_0324.3	Lan Wei
nw.chtb_0324.3	Sheng Chen
DF-200-192400-625_6344.10	A2
PROXY_NYT_ENG_20020406_0118.9	State Scientific Center of Applied Microbiology
PROXY_NYT_ENG_20020406_0118.9	Obolensk
DF-200-192400-625_7557.15	bipolar
nw.chtb_0322.14	Fengzhu Xu
nw.chtb_0325.1	Changrui Huang
nw.chtb_0325.1	Aiguo Yang
PROXY_XIN_ENG_20021123_0156.10	Tang
NW_XIN_ENG_0194_2007_0704.2	Hefei
PROXY_XIN_ENG_20020905_0122.20	Sher Bahadur Deuba
PROXY_XIN_ENG_20030624_0298.7	De Villepin
PROXY_XIN_ENG_20030624_0298.21	Assodalah Ladjevardi
PROXY_XIN_ENG_20030624_0298.21	Evin Prison
PROXY_XIN_ENG_20030624_0298.21	Ali Sayad Chirazi
NW_XIN_ENG_0198_2008_1218.5	Vanuatu
PROXY_XIN_ENG_20040407_0026.9	Hambali
ENG_DF_000170_20050903_C00020J0V_0001.54	Austin Area Interreligious Ministry
NW_XIN_ENG_0209_2008_0513.21	Pathein
NW_XIN_ENG_0209_2008_0513.21	Myaungmya
bolt12_6455_6561.30	Boxer Protocol
PROXY_XIN_ENG_20041010_0024.7	Asia-Europe Meeting
nw.chtb_0324.2	Seventh World Swimming Championship
NW_AFP_ENG_0011_2003_0417.4	Nityalila Naotia
ENG_NA_020001_20161020_G0023FSVZ_0001.4	Clercine 26
nw.chtb_0302.4	Chavalit
NW_XIN_ENG_0192_2005_0906.11	Molina
NW_XIN_ENG_0192_2005_0906.11	Villaraigosa
PROXY_NYT_ENG_20071115_0274.11	Nuclear Suppliers Group
nw.chtb_0322.5	Weiping Nie
nw.chtb_0322.5	Guibing Cui
nw.chtb_0322.5	Xiaoguang Liu
nw.chtb_0322.5	Xiuying Zhang
nw.chtb_0322.5	Hao Chang
nw.chtb_0322.5	Fengzhu Xu
nw.chtb_0322.5	Dayuan Cao
nw.chtb_0322.5	Xuange Lin
PROXY_XIN_ENG_20020905_0122.10	Lalitpur
PROXY_XIN_ENG_20020905_0122.10	Kathmandu Valley
PROXY_XIN_ENG_20030709_0070.8	Roh Woo-hyun
DF-200-192400-625_6344.28	Childline
PROXY_XIN_ENG_20020725_0113.10	Triad
PROXY_XIN_ENG_20041010_0024.9	Phan Van Khai
PROXY_LTW_ENG_20070930_0021.8	Nuclear Suppliers Group
PROXY_XIN_ENG_20020725_0333.14	Fujimori
PROXY_XIN_ENG_20020701_0314.17	Montesinos
PROXY_XIN_ENG_20021123_0156.15	Tang
PROXY_XIN_ENG_20021123_0156.15	SCO
PROXY_NYT_ENG_20071115_0274.4	Nuclear Suppliers Group
PROXY_XIN_ENG_20021123_0156.17	Tang
PROXY_XIN_ENG_20021123_0156.17	SCO
PROXY_NYT_ENG_20081128_0005.5	Antonio Maria Costa
PROXY_NYT_ENG_20081128_0005.5	U.N. Drug Office
PROXY_XIN_ENG_20020701_0314.11	Montesinos
NW_XIN_ENG_0191_2005_0405.3	Qinghai
PROXY_XIN_ENG_20011006_0073.14	Foreign Military Assistance Act
PROXY_XIN_ENG_20021020_0012.6	Radio Nepal
NW_AFP_ENG_0011_2003_0417.1	Tripura
bolt12_64556_5629.1	Long March
PROXY_XIN_ENG_20031107_0242.9	Dlamini-Zuma
PROXY_XIN_ENG_20031107_0242.9	Celso Amorim
PROXY_XIN_ENG_20031107_0242.9	Joint Commission
PROXY_XIN_ENG_20031107_0242.11	Brazil-Africa Forum
PROXY_XIN_ENG_20040922_0123.15	Shanghai Cooperation Organization
ENG_NA_020001_20161020_G0023FSVH_0001.6	Silo
NW_AFP_ENG_0011_2003_0417.2	Agartala
NW_AFP_ENG_0011_2003_0417.2	Tripuras
NW_AFP_ENG_0011_2003_0417.2	Tultuli
PROXY_NYT_ENG_20071115_0274.9	Nuclear Suppliers Group
PROXY_XIN_ENG_20040922_0123.16	SCO
PROXY_NYT_ENG_20071115_0274.7	Nuclear Suppliers Group
ENG_DF_000170_20050903_C00020J0V_0001.29	Capital Area Food Bank
PROXY_LTW_ENG_20081115_0076.19	David Albright
PROXY_NYT_ENG_20050716_0171.36	Ochoa
ENG_NA_020001_20161020_G0023FSW1_0001.4	Delmas 2
wb.eng_0003.32	288
PROXY_NYT_ENG_20020406_0118.26	International Science and Technology Center
PROXY_NYT_ENG_20020406_0118.26	Nikolai N. Urakov
PROXY_XIN_ENG_20020905_0122.12	Kathmandu
ENG_NA_020001_20161020_G0023FSWH_0001.5	Canape Vert
ENG_NA_020001_20161020_G0023FSWH_0001.5	Saint-Hilaire
NW_XIN_ENG_0198_2008_1218.1	Solomon Islands
nw.chtb_0302.2	Huaqing Liu
nw.chtb_0302.2	Chavalit Yoncayu
nw.chtb_0302.2	Domestic Affairs
nw.chtb_0302.2	Diaoyutai State Guesthouse
PROXY_NYT_ENG_20040724_0084.32	O Estado de Sao Paolo
PROXY_NYT_ENG_20020406_0118.10	State Scientific Center of Applied Microbiology
PROXY_NYT_ENG_20081008_0040.32	Southern Sudan
PROXY_XIN_ENG_20020829_0017.4	Kathmandu
NW_AFP_ENG_0011_2003_0417.5	Naotia
PROXY_LTW_ENG_20070930_0021.10	NSG
NW_AFP_ENG_0010_2003_0401.5	McCarthy
NW_AFP_ENG_0010_2003_0401.5	Office of Gas and Electricity Markets
PROXY_XIN_ENG_20021123_0156.13	Tang
PROXY_XIN_ENG_20021123_0156.9	Tang
PROXY_XIN_ENG_20021123_0156.9	SCO
nw.chtb_0322.9	XunXuan Cao
PROXY_NYT_ENG_20050716_0171.32	FAL
NW_AFP_ENG_0013_2003_0427.6	Ayub Masih
NW_AFP_ENG_0013_2003_0427.6	Salman Rushdie
NW_AFP_ENG_0013_2003_0427.6	The Satanic Verses
NW_AFP_ENG_0011_2003_0417.7	Tripura
PROXY_XIN_ENG_20040429_0189.14	Frankfurt
PROXY_NYT_ENG_20050716_0171.46	Free University
ENG_NA_020001_20161020_G0023FSUQ_0001.4	Delmas 31
ENG_NA_020001_20161020_G0023FSUQ_0001.4	Rue Marien
PROXY_XIN_ENG_20021123_0156.19	Tang
PROXY_XIN_ENG_20021123_0156.19	SCO
PROXY_LTW_ENG_20070930_0021.16	Kimball
NW_XIN_ENG_0191_2005_0405.16	Deng
PROXY_XIN_ENG_20040922_0123.7	Shanghai Convention on Combating Terrorism, Separatism and Extremism
PROXY_XIN_ENG_20040922_0123.7	China-Kyrgyzstan Agreement
ENG_NA_020001_20161020_G0023FSW0_0001.4	Immaculate Conception Hospital
ENG_NA_020001_20161020_G0023FSW0_0001.4	Rue Duvivier
PROXY_XIN_ENG_20020701_0314.7	Alberto Fujimori
PROXY_NYT_ENG_20081008_0040.5	South Sudan
PROXY_XIN_ENG_20011006_0073.5	The Citizen
PROXY_XIN_ENG_20021228_0162.6	Yaffa
PROXY_XIN_ENG_20021228_0162.6	National Food Industries Co.
PROXY_XIN_ENG_20021228_0162.6	Zafaraniyah
ENG_DF_000170_20050903_C00020J0V_0001.58	Trinity Street
ENG_DF_000170_20050903_C00020J0V_0001.58	9th
NW_AFP_ENG_0019_2003_0630.13	trans-Gaza highway
PROXY_NYT_ENG_20020406_0118.15	Nikolai N. Urakov
PROXY_NYT_ENG_20020406_0118.15	State Scientific Center of Applied Microbiology
ENG_NA_020001_20161020_G0023FSVA_0001.4	La Plaine
ENG_NA_020001_20161020_G0023FSVA_0001.4	Bon Repos
ENG_NA_020001_20161020_G0023FSVA_0001.4	Moleya
ENG_NA_020001_20161020_G0023FSVA_0001.4	Ruelle Mackendi
ENG_NA_020001_20161020_G0023FSVA_0001.4	Impasse Celeste
NW_XIN_ENG_0196_2008_1027.3	Sukabumi
NW_XIN_ENG_0196_2008_1027.3	Meteorological and Geophysics Agency
nw.chtb_0325.7	Lan Wei
nw.chtb_0325.7	Sheng Chen
PROXY_XIN_ENG_20040403_0262.6	Krasnoznamernsk
NW_AFP_ENG_0009_2003_0330.6	Kyodo
ENG_NA_020001_20161020_G0023FSUP_0001.4	Saint Marc
ENG_NA_020001_20161020_G0023FSUP_0001.4	Alliance University
PROXY_XIN_ENG_20020725_0333.10	El Comercio
PROXY_XIN_ENG_20020725_0333.10	Alberto Fujimori
PROXY_NYT_ENG_20050716_0171.50	Quintero
ENG_NA_020001_20161020_G0023FSVS_0001.4	Fontamara
ENG_NA_020001_20161020_G0023FSVS_0001.4	Louis St
PROXY_NYT_ENG_20020406_0118.28	Randall Lee Beatty
PROXY_NYT_ENG_20020406_0118.28	State Scientific Center of Applied Microbiology
NW_AFP_ENG_0016_2003_0527.4	Fleischer
NW_AFP_ENG_0016_2003_0527.4	Democratic Republic of Congo
wb.eng_0003.22	288
PROXY_XIN_ENG_20041010_0024.4	Asia-Europe Meeting
nw.chtb_0303.2	Guofang Shen
nw.chtb_0303.2	Gentzs Aerpade
nw.chtb_0303.2	Hungary Republic
NW_AFP_ENG_0012_2003_0419.11	Muttrah Souq
NW_AFP_ENG_0012_2003_0419.11	Muscat
ENG_DF_000170_20050903_C00020J0V_0001.27	Mitch Sudolsky
nw.chtb_0318.11	Japanese Handicapped Sports Team
PROXY_NYT_ENG_20080808_0162.24	Caucasus
